Date,Mean discharge (Observed),Q sat discharge
22-1-2010,170.3000031,165.3999939
23-1-2010,173.3999939,175.8999939
24-1-2010,170.6000061,186.6000061
25-1-2010,163.8000031,196.3999939
26-1-2010,148.6000061,190.8000031
27-1-2010,125.4000015,172.8999939
28-1-2010,137.5,158.1000061
29-1-2010,169,152.8999939
30-1-2010,176.6999969,151
31-1-2010,175.5,158.1999969
1-2-2010,,168.1999969
2-2-2010,,167.5
3-2-2010,134.1000061,158.1000061
4-2-2010,155.1000061,149.6000061
5-2-2010,196.8999939,141.6000061
6-2-2010,203,150.1999969
7-2-2010,224.1000061,164.6000061
8-2-2010,236.8999939,174.3999939
9-2-2010,218.3000031,183.5
10-2-2010,219.5,198.6999969
11-2-2010,263.2999878,206.6999969
12-2-2010,281.3999939,212.6000061
13-2-2010,282.3999939,220.3000031
14-2-2010,274,223.1999969
15-2-2010,237.5,225.3999939
16-2-2010,190.6000061,232.6000061
17-2-2010,179,235.8000031
18-2-2010,229,220.8000031
19-2-2010,198.5,208.1999969
20-2-2010,126.5999985,203.6999969
21-2-2010,289.7999878,204.5
22-2-2010,276.6000061,210.3000031
23-2-2010,188,223
24-2-2010,200.3999939,236.6000061
25-2-2010,236.6000061,240.6000061
26-2-2010,293.2000122,245
27-2-2010,305.7000122,248.5
28-2-2010,302.3999939,251.8999939
1-3-2010,271,252.6000061
2-3-2010,252.6000061,249.8999939
3-3-2010,240.1000061,246.1000061
4-3-2010,312.5,245.3000031
5-3-2010,325.6000061,244.6000061
6-3-2010,325.6000061,249.3999939
7-3-2010,321.7000122,257.7000122
8-3-2010,284.7000122,258.7000122
9-3-2010,230.6999969,256.2000122
10-3-2010,228,245.8999939
11-3-2010,249.5,227.8999939
12-3-2010,247.3999939,214.1999969
13-3-2010,246.1000061,210.8999939
14-3-2010,244.3999939,209.3000031
15-3-2010,232.8000031,204.8000031
16-3-2010,223.3000031,196.6999969
17-3-2010,199.3999939,188.3999939
18-3-2010,238.8000031,184
19-3-2010,250.3000031,182
20-3-2010,241.1000061,175.8000031
21-3-2010,237.3999939,176.6999969
22-3-2010,231.1999969,194.8000031
23-3-2010,216.3999939,212.1000061
24-3-2010,213.3000031,194.3999939
25-3-2010,262.2000122,188.6999969
26-3-2010,271.2000122,197.8000031
27-3-2010,258.7999878,219.8999939
28-3-2010,246.6999969,231.1999969
29-3-2010,242.3999939,224.1999969
30-3-2010,233.1000061,208
31-3-2010,215.6999969,196.3000031
1-4-2010,280.2000122,195.1999969
2-4-2010,300,203.1999969
3-4-2010,303.1000061,229.6000061
4-4-2010,296.6000061,251.1000061
5-4-2010,283.5,254.6999969
6-4-2010,255,252.8999939
7-4-2010,237.6000061,246.6999969
8-4-2010,275.6000061,233.3999939
9-4-2010,314.7999878,223
10-4-2010,334.2999878,220.3000031
11-4-2010,347.8999939,218.6000061
12-4-2010,326.3999939,217.8999939
13-4-2010,285.6000061,215.3000031
14-4-2010,279.1000061,207.3999939
15-4-2010,294.2000122,194.6000061
16-4-2010,305.8999939,196.3999939
17-4-2010,317.2999878,207.8000031
18-4-2010,325.7000122,229.1000061
19-4-2010,328.7999878,238.1999969
20-4-2010,308.7000122,238.3999939
21-4-2010,299.3999939,236.6000061
22-4-2010,334.8999939,228.5
23-4-2010,331.6000061,221.1000061
24-4-2010,325,228.8999939
25-4-2010,305.6000061,244
26-4-2010,288.3999939,244.8999939
27-4-2010,283.8999939,245.3000031
28-4-2010,310.7999878,239.6000061
29-4-2010,305.8999939,229.6999969
30-4-2010,306.6000061,227.5
1-5-2010,330.5,234.8000031
2-5-2010,312.7999878,246
3-5-2010,294.2999878,252.8000031
4-5-2010,266.6000061,249.3999939
5-5-2010,248.3000031,242.6999969
6-5-2010,289.2000122,233.6000061
7-5-2010,298.6000061,235.3999939
8-5-2010,291.2999878,242.1999969
9-5-2010,288.7000122,251
10-5-2010,270.2000122,249.1000061
11-5-2010,234.6000061,246.8999939
12-5-2010,251.3000031,244.6999969
13-5-2010,307.2000122,238.8000031
14-5-2010,322.1000061,234.1000061
15-5-2010,329.1000061,239.6000061
16-5-2010,313.8999939,248.8999939
17-5-2010,304.5,250.5
18-5-2010,315.7000122,248.5
19-5-2010,286.5,247.8999939
20-5-2010,279.7999878,250.8999939
21-5-2010,336.7999878,255.3999939
22-5-2010,357.7000122,267.2999878
23-5-2010,353.7999878,284.7999878
24-5-2010,344,290.3999939
25-5-2010,328,284
26-5-2010,294.7999878,272.2000122
27-5-2010,293.7000122,258.7000122
28-5-2010,301.5,246
29-5-2010,300.6000061,233.6999969
30-5-2010,304.5,228.3000031
31-5-2010,320.6000061,230.1999969
1-6-2010,306.3999939,233.1999969
2-6-2010,325.5,245.3000031
3-6-2010,338.8999939,262
4-6-2010,405.7999878,273.6000061
5-6-2010,330.5,278.5
6-6-2010,335.8999939,277
7-6-2010,339.2999878,275.5
8-6-2010,,280.3999939
9-6-2010,,298.6000061
10-6-2010,353.3999939,322.2999878
11-6-2010,371.8999939,328.2000122
12-6-2010,365.1000061,326.7999878
13-6-2010,334.7999878,334.2999878
14-6-2010,289,355.5
15-6-2010,276.6000061,366.7999878
16-6-2010,282.8999939,328.5
17-6-2010,323.7999878,307.1000061
18-6-2010,335.3999939,289.3999939
19-6-2010,318.7999878,279.2999878
20-6-2010,294.1000061,265.8999939
21-6-2010,299.2000122,264.7000122
22-6-2010,306.5,263.2999878
23-6-2010,317.5,262.5
24-6-2010,362.7000122,266.7000122
25-6-2010,377.3999939,297.5
26-6-2010,352.2999878,376.6000061
27-6-2010,340.2000122,417.2000122
28-6-2010,328.3999939,379.7000122
29-6-2010,304.5,331.8999939
30-6-2010,290.3999939,309.7999878
1-7-2010,346.7000122,290.6000061
2-7-2010,344.6000061,285.3999939
3-7-2010,328.6000061,283.6000061
4-7-2010,349.6000061,282.2000122
5-7-2010,352.8999939,280.5
6-7-2010,335.5,285.7000122
7-7-2010,358.6000061,290.3999939
8-7-2010,387.2000122,301.8999939
9-7-2010,426.7000122,321.7999878
10-7-2010,433.7000122,329.1000061
11-7-2010,424,335
12-7-2010,407.7000122,388.8999939
13-7-2010,436.3999939,596.9000244
14-7-2010,469.5,889.4000244
15-7-2010,484.1000061,979.7999878
16-7-2010,535,852.4000244
17-7-2010,577,746.5999756
18-7-2010,498.2000122,630.4000244
19-7-2010,412.7999878,479.1000061
20-7-2010,400.8999939,449.7000122
21-7-2010,520.9000244,468.7000122
22-7-2010,545.7999878,549.7000122
23-7-2010,532.7999878,553.9000244
24-7-2010,522.7999878,532
25-7-2010,447.7000122,534.7000122
26-7-2010,509.7000122,588.5999756
27-7-2010,493.6000061,704.0999756
28-7-2010,545.7000122,785.5999756
29-7-2010,539.9000244,754.0999756
30-7-2010,528.2000122,743.0999756
31-7-2010,581.2999878,741.2000122
1-8-2010,639.0999756,740
2-8-2010,672.2999878,741
3-8-2010,578,743.2999878
4-8-2010,540.5999756,709.5999756
5-8-2010,535,627.9000244
6-8-2010,536.5999756,568.7999878
7-8-2010,535.7000122,576.7000122
8-8-2010,578.2999878,608.2000122
9-8-2010,587.5999756,658.7999878
10-8-2010,701.2000122,789.4000244
11-8-2010,729,923.2000122
12-8-2010,683.5,944.5999756
13-8-2010,760.5,950.9000244
14-8-2010,814.4000244,1046
15-8-2010,745.5999756,1156
16-8-2010,750,1279
17-8-2010,1160,1406
18-8-2010,1014,1421
19-8-2010,993.9000244,1428
20-8-2010,915.0999756,1394
21-8-2010,822.7999878,1383
22-8-2010,1006,1640
23-8-2010,967.4000244,1797
24-8-2010,812.5999756,1826
25-8-2010,815.9000244,1600
26-8-2010,921.0999756,1381
27-8-2010,999.2000122,1338
28-8-2010,991.2000122,1297
29-8-2010,1026,1345
30-8-2010,1044,1403
31-8-2010,1059,1404
1-9-2010,1014,1400
2-9-2010,1071,1405
3-9-2010,1212,1514
4-9-2010,1228,1768
5-9-2010,1252,1936
6-9-2010,1309,2030
7-9-2010,1375,2169
8-9-2010,1466,2408
9-9-2010,1478,2626
10-9-2010,1455,2616
11-9-2010,1540,2603
12-9-2010,1805,2655
13-9-2010,1804,2808
14-9-2010,1770,2905
15-9-2010,1767,2970
16-9-2010,1703,2957
17-9-2010,1620,2884
18-9-2010,1515,2800
19-9-2010,1413,2727
20-9-2010,1413,2636
21-9-2010,1471,2529
22-9-2010,1435,2434
23-9-2010,1374,2337
24-9-2010,1235,2295
25-9-2010,1214,2261
26-9-2010,1216,2200
27-9-2010,1178,2107
28-9-2010,1084,1972
29-9-2010,1023,1813
30-9-2010,996.5,1670
1-10-2010,929.9000244,1507
2-10-2010,862,1373
3-10-2010,816.7000122,1265
4-10-2010,753.2000122,1164
5-10-2010,685.2999878,1078
6-10-2010,655.2999878,1006
7-10-2010,651,912.5
8-10-2010,709.9000244,873.2999878
9-10-2010,741,927.5999756
10-10-2010,694.5999756,1065
11-10-2010,664.4000244,1176
12-10-2010,624,1179
13-10-2010,613.2999878,1143
14-10-2010,616.5,1057
15-10-2010,606.7000122,990.9000244
16-10-2010,647,960.5999756
17-10-2010,659,937.7999878
18-10-2010,638.0999756,918.9000244
19-10-2010,600.2999878,890.7000122
20-10-2010,549.0999756,850.5999756
21-10-2010,541.7000122,795.7999878
22-10-2010,527.2999878,740.7000122
23-10-2010,494.7000122,685
24-10-2010,468.2999878,644.4000244
25-10-2010,457.2999878,622.7999878
